State_Name,State_District_Name,Population_Rural,Population_Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Femal Rural,Fever FemaleUrban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Womene Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Uttar Pradesh,Auraiya,91157,16462,67.05,58.93,11,13.84,60.7,57.14,46.92,42.19,85.66,80.36,1041.28,703.89,1027.24,614.56,409.17,234.63,630.06,387.44,2761.1,3144.06,4573.74,4569.14,4228.19,4106.05,6576.3,5584.5,98.43,97.79,98.29,98.29,98.54,97.37,9.21,18.51,9.85,16.28,8.75,20.39,58.73,79.74,51.27,52.45,95.58,97.94,89.68,83.15
Uttar Pradesh,Azamgarh,95444,7721,69.8,76.19,8.35,8.16,62.56,62.59,56.53,58.5,84.07,84.01,361.5,382.02,308.54,368.27,13815.62,10725.83,14031.79,11614.73,5178.96,2380.25,5933.65,3002.83,19533.01,13752.57,20417.79,15184.14,99.23,99.1,99.13,99.15,99.31,99.07,2.87,4.12,3.06,3.45,2.72,4.71,86.03,86.51,91.42,86.42,99.53,99.38,92.71,93.17
Uttar Pradesh,Baghpat,82449,13310,77.44,75.68,2.13,4.17,84.36,78.22,76.36,70.24,96.15,92.74,564.68,294.53,488.92,223.21,8503.06,9719.5,8970.03,11074.86,4639.99,3169.71,5560.29,4309.75,13873.36,13295.93,15202.27,15728.02,98.04,98.5,97.95,99.16,98.13,97.82,3.99,2.51,3.99,2.34,3.99,2.68,94.01,95.28,96.45,98.71,98.9,98.99,98.53,99.21
Uttar Pradesh,Bahraich,114455,6947,67.88,76.22,8.42,3.5,46.18,65.38,26.86,39.86,83.08,86.71,1698.58,1332.95,1631.93,860.69,352.74,318.75,328.68,286.9,1709.52,840.34,1922.88,1051.96,4075.86,2521.01,4229.65,2358.94,100,100,100,100,100,100,13.36,16.77,15.47,17.24,11.18,16.22,75.55,95.36,68.06,85.41,99.9,99.01,97.8,99.89
Uttar Pradesh,Ballia,80144,7479,80.78,77.34,4.97,6.4,79.21,72.91,71.54,65.52,89.21,87.68,835.92,457.93,733.11,576.92,5633.61,4493.42,5854.56,4391.03,1151.3,572.41,1380.91,769.23,7845.63,5838.58,8280.16,5961.54,99.58,99.74,99.61,100,99.55,99.46,8.8,4.63,8.21,5.88,9.35,3.24,85.52,93.78,96.52,97.96,97.9,99.38,95.95,97.16
Uttar Pradesh,Balrampur,40418,1598,45.68,NA,27.91,NA,42.16,NA,35.5,NA,61.95,NA,351.98,NA,327.37,NA,7489.51,NA,6957.73,NA,618,NA,761.21,NA,8700.52,NA,8370.71,NA,99.68,NA,99.88,NA,99.47,NA,3.66,NA,3.65,NA,3.67,NA,80.26,NA,96.01,NA,99.06,NA,96.72,NA
Uttar Pradesh,Banda,54794,4472,87.23,91.18,3.74,0,75.03,87.25,40.28,62.75,94.23,100,398.15,224.82,504.9,206.93,251.45,449.64,215.67,517.33,2903.34,1933.45,4336.16,3207.45,4387.95,2607.91,5378.84,3931.71,98.18,99.25,98.2,98.28,98.17,100,11.87,26.32,10.58,22.81,12.94,28.95,52.79,86.58,79.76,83.41,99.86,99.71,99.99,100
Uttar Pradesh,Barabanki,54961,3761,80.08,84.85,7.25,5.45,74.12,79.39,42.2,65.45,92.44,93.94,683.05,612.87,603.59,536.35,3107,1123.6,2987.1,2264.6,3744.91,3626.15,4563.48,5125.15,8355.15,5924.41,9063.86,8820.02,97.88,95.08,97.17,93.1,98.61,96.62,7.58,5.58,7.45,4.63,7.72,6.29,71.67,95.06,39.91,93.68,99.51,99.8,99.79,99.21
Uttar Pradesh,Bareilly,52896,25596,52.53,63.08,4.46,4,52.78,57.03,39.1,46.77,82.96,87.38,318.14,297.69,234.74,287.09,11610.79,13474.34,13809.71,15384.62,5506.37,2937.72,6316.62,3571.73,17598.18,16889.93,20595.2,19386.98,99.04,98.14,99.08,98.19,99,98.08,1.3,1.53,1.32,1.61,1.28,1.47,48.8,80.22,42.28,65.6,95.01,96.61,95.56,94.83
Uttar Pradesh,Basti,44071,3984,82.67,NA,6.82,NA,72.07,NA,65.71,NA,85.99,NA,1283.07,NA,1092.24,NA,4528.46,NA,4534.29,NA,1616.6,NA,2018.99,NA,7880.95,NA,8107.75,NA,99.63,NA,99.59,NA,99.66,NA,5.1,NA,4.87,NA,5.3,NA,93.87,NA,97.75,NA,98.79,NA,97.56,NA
Uttar Pradesh,Bijnor,39065,10351,71.7,71.78,3.2,2.72,77.29,79.46,68.84,70.54,92.31,94.06,499.1,333.07,522,203,6994.5,5858.15,7264.59,6354.04,6576.75,6054.08,8476.03,8546.49,15203.48,13068.18,17785.34,16280.96,99.42,99.12,99.42,98.5,99.42,99.63,1.75,2.47,1.95,1.67,1.58,3.13,66.86,68.93,59.84,63.82,99.52,99.93,99.55,99.16
Uttar Pradesh,Budaun,44488,7505,60.79,61.87,5.68,2.78,47.12,46.46,30.67,30.56,83.08,85.35,658.07,446.3,548.54,381.26,22493.55,19302.65,23983.39,19444.44,4307.26,1059.97,4441.33,1252.72,28084.6,21115.76,30023.07,21677.56,94.45,95.75,94.52,96.3,94.38,95.23,2.36,3.97,2.31,3.98,2.4,3.96,36.58,76.78,64.38,70.12,99.67,99.35,97.45,96.3
Uttar Pradesh,Bulandshahar,43608,15865,65.24,69.58,1.8,2.41,71.05,70.63,52.11,52.86,92.54,88.86,311.61,481.6,285.57,352.3,14359.66,11990.61,16128.77,13401.08,6218.26,4951.84,8221.83,6273.71,21269.37,17868.61,25158.93,20691.06,96.61,98.02,97.09,98.2,96.17,97.84,1.59,2.44,1.62,2.32,1.55,2.54,70.34,83.15,55.4,57.4,96.96,99.65,96.91,97.16
